,OrderNumber,OrderDate,Channel,CurrencyCode,WarehouseCode,DeliveryRegionIndex,OrderQuantity,UnitPrice,LineTotal,TotalUnitCost,ProductIndex,Category,CustomerIndex,CustomerNames,Emails,HeadOfficeIndex,RegionIndex,City,Country
36,SO - 000137,41794,Wholesale,USD,GUT930,46,7,261.3,1829.1,120.198,4,furniture,173,H Ltd,pgonzales7y@youku.com,12,46,Wroclaw (Breslau),Poland
37,SO - 000138,41794,Wholesale,USD,FLR025,65,9,998.3,8984.7,698.81,2,books,11,Voonyx Group,sandrews4j@cisco.com,15,65,OSLO,Norway
38,SO - 000139,41794,Wholesale,USD,AXW291,17,6,3497.4,20984.4,1958.544,14,musical instruments,39,Kazu Corp,jwoodo@mit.edu,45,17,München (Munich),Germany
39,SO - 000140,41794,Wholesale,USD,GUT930,36,9,1132.3,10190.7,486.889,2,books,137,Aldi Ltd,fcampbell80@360.cn,28,36,Kraków,Poland
40,SO - 000141,41794,Wholesale,USD,AXW291,8,9,2405.3,21647.7,1587.498,10,accessories,75,Cogilith Group,bnelson17@parallels.com,50,8,BUDAPEST,Hungary
41,SO - 000142,41794,Distributor,USD,FLR025,66,7,5701.7,39911.9,3249.969,14,musical instruments,33,Cadila Ltd,joliver2c@usda.gov,36,66,KOBENHAVN (Copenhagen),Denmark
42,SO - 000143,41795,Distributor,USD,GUT930,45,9,2452.2,22069.8,1446.798,4,furniture,134,Quimm Company,rhenry7y@squarespace.com,45,45,Frankfurt am Main,Germany
43,SO - 000144,41795,Wholesale,USD,AXW291,2,7,3095.4,21667.8,2012.01,15,pet supplies,115,Dynazzy Company,ahansoni9@acquirethisname.com,61,2,BERLIN,Germany
44,SO - 000145,41795,Export,USD,GUT930,38,9,3865.9,34793.1,2164.904,13,beauty make-up,90,Aimbo Corp,criveramf@mysql.com,49,38,AMSTERDAM,Netherlands
45,SO - 000146,41795,Distributor,USD,AXW291,7,7,2304.8,16133.6,1382.88,7,men's & women's clothing,2,Jaxbean Group,jwilliamsonpk@eventbrite.com,42,7,BUCURESTI (Bucharest),Romania
46,SO - 000147,41795,Distributor,USD,AXW291,7,10,3195.9,31959.0,1470.114,8,car & motorbike,47,Gigabox Group,jjohnston3t@homestead.com,39,7,BUCURESTI (Bucharest),Romania
47,SO - 000148,41795,Wholesale,USD,NXH382,53,10,6452.1,64521.0,5161.68,12,garden & outdoor,80,Realbuzz Ltd,gandrews39@nifty.com,42,53,VILNIUS,Lithuania
48,SO - 000149,41796,Export,USD,AXW291,19,6,2003.3,12019.8,921.518,13,beauty make-up,78,US Ltd,astone14@shareasale.com,50,19,SOFIA,Bulgaria
49,SO - 000150,41796,Wholesale,USD,AXW291,4,5,3638.1,18190.5,1455.24,6,grocery & gourmet foods,91,Zoonder Group,lboydnj@forbes.com,19,4,ROMA,Italy
50,SO - 000151,41796,Export,USD,AXW291,20,6,2278.0,13668.0,1822.4,3,electronics,19,Roberts Company,cwagnera2@ed.gov,27,20,Dnepropetrovsk,Ukraine
51,SO - 000152,41796,Distributor,USD,AXW291,26,12,924.6,11095.2,582.498,5,sports & fitness,21,Viva Ltd,wyoungoo@ucla.edu,55,26,Torino (Turin),Italy
52,SO - 000153,41796,Wholesale,USD,AXW291,20,11,3926.2,43188.2,3062.436,7,men's & women's clothing,31,Golden Corp,kmoreno34@ca.gov,36,20,Dnepropetrovsk,Ukraine
53,SO - 000154,41796,Export,USD,FLR025,63,7,3825.7,26779.9,2257.163,3,electronics,70,Cogidoo Company,mcarrolli3@foxnews.com,36,63,Hannover,Germany
54,SO - 000155,41796,Wholesale,USD,FLR025,65,10,2257.9,22579.0,1377.319,10,accessories,89,Internatio Company,bbutler13@addtoany.com,28,65,OSLO,Norway
55,SO - 000156,41797,Wholesale,USD,AXW291,27,7,1112.2,7785.4,756.296,2,books,3,Ascend Ltd,wwilliamson1g@about.me,28,27,ZAGREB,Croatia
56,SO - 000157,41797,Wholesale,USD,AXW291,19,5,3557.7,17788.5,1814.427,4,furniture,76,NARS Group,bhamilton70@multiply.com,27,19,SOFIA,Bulgaria
57,SO - 000158,41797,Distributor,USD,AXW291,11,7,2371.8,16602.6,1233.336,11,toy & kids products,3,Ascend Ltd,wwilliamson1g@about.me,28,11,WARSZAWA (Warsaw),Poland
58,SO - 000159,41797,Wholesale,USD,AXW291,11,12,857.6,10291.2,686.08,8,car & motorbike,125,Zooveo Company,jevans0@guardian.co.uk,22,11,WARSZAWA (Warsaw),Poland
59,SO - 000160,41798,Wholesale,USD,GUT930,43,11,3892.7,42819.7,2880.598,3,electronics,86,Voolith Ltd,ddayqi@amazon.co.jp,66,43,KISHINEV,Moldova
60,SO - 000161,41798,Distributor,USD,AXW291,28,8,3477.3,27818.4,1390.92,15,pet supplies,1,Geiss Company,lharrison3v@eepurl.com,6,28,Zaporozhye,Ukraine
61,SO - 000162,41798,Distributor,USD,AXW291,28,6,3738.6,22431.6,2803.95,8,car & motorbike,104,Mydeo Ltd,sjohnstonjs@deliciousdays.com,33,28,Zaporozhye,Ukraine
62,SO - 000163,41798,Wholesale,USD,NXH382,48,8,1072.0,8576.0,589.6,1,home appliances,63,Pfizer Corp,cwillis4l@answers.com,26,48,Zaragoza,Spain
63,SO - 000164,41798,Wholesale,USD,AXW291,22,12,2257.9,27094.8,1761.162,7,men's & women's clothing,121,Tambee Company,hturnerw@answers.com,47,22,Napoli (Naples),Italy
64,SO - 000165,41798,Distributor,USD,GUT930,42,5,1058.6,5293.0,751.606,5,sports & fitness,40,Twinte Group,ebellpi@yandex.ru,59,42,Palermo,Italy
65,SO - 000166,41798,Wholesale,USD,AXW291,14,10,2492.4,24924.0,1296.048,12,garden & outdoor,118,MEIJER Corp,esimmons3g@guardian.co.uk,46,14,Kharkov,Ukraine
66,SO - 000167,41798,Wholesale,USD,AXW291,13,6,3852.5,23115.0,2465.6,14,musical instruments,20,Tagfeed Ltd,srichardson8l@ucla.edu,56,13,WIEN (Vienna),Austria
67,SO - 000168,41799,Wholesale,USD,GUT930,39,11,241.2,2653.2,132.66,13,beauty make-up,119,Livepath Corp,tdavis1v@state.gov,5,39,Leeds,UK
68,SO - 000169,41799,Distributor,USD,AXW291,6,5,1051.9,5259.5,494.393,3,electronics,134,Quimm Company,rhenry7y@squarespace.com,45,6,PARIS,France
69,SO - 000170,41799,Distributor,USD,AXW291,31,8,227.8,1822.4,107.066,2,books,146,Vimbo Company,srice31@exblog.jp,34,31,RIGA,Latvia
70,SO - 000171,41799,Wholesale,USD,FLR025,60,9,1078.7,9708.3,506.989,1,home appliances,101,Feednation Corp,rbennett8q@tinypic.com,29,60,Sheffield,UK
71,SO - 000172,41799,Wholesale,USD,AXW291,18,6,1005.0,6030.0,743.7,3,electronics,125,Zooveo Company,jevans0@guardian.co.uk,22,18,PRAHA (Prague),Czech Republic
72,SO - 000173,41799,Distributor,USD,NXH382,52,6,2485.7,14914.2,1317.421,6,grocery & gourmet foods,109,WOCKHARDT Group,mcarter8x@feedburner.com,19,52,Stuttgart,Germany
73,SO - 000174,41799,Distributor,USD,AXW291,26,10,2659.9,26599.0,2154.519,3,electronics,108,Vitz Company,pmorales92@naver.com,27,26,Torino (Turin),Italy
74,SO - 000175,41800,Wholesale,USD,AXW291,20,11,2224.4,24468.4,1579.324,15,pet supplies,72,Wordware Company,tlopezn@bandcamp.com,15,20,Dnepropetrovsk,Ukraine
75,SO - 000176,41800,Wholesale,USD,FLR025,61,8,2472.3,19778.4,1260.873,14,musical instruments,152,Eayo Company,jcastillo1w@independent.co.uk,33,61,SARAJEVO,Bosnia
76,SO - 000177,41800,Wholesale,USD,GUT930,42,7,1011.7,7081.9,799.243,9,health & personal care,71,Remedy Ltd,gray5n@bravesites.com,38,42,Palermo,Italy
77,SO - 000178,41800,Wholesale,USD,GUT930,42,6,234.5,1407.0,128.975,11,toy & kids products,133,Mydo Corp,rramoshq@jugem.jp,54,42,Palermo,Italy
78,SO - 000179,41800,Distributor,USD,AXW291,29,8,261.3,2090.4,143.715,3,electronics,131,Rooxo Company,jgriffine@latimes.com,22,29,Lódz,Poland
79,SO - 000180,41800,Export,USD,AXW291,7,5,4006.6,20033.0,2844.686,4,furniture,147,SUPERVALU Ltd,pbowman2q@usa.gov,27,7,BUCURESTI (Bucharest),Romania
80,SO - 000181,41800,Distributor,USD,GUT930,38,6,1333.3,7999.8,866.645,1,home appliances,150,Zooxo Ltd,hmoore3c@privacy.gov.au,43,38,AMSTERDAM,Netherlands
81,SO - 000182,41801,Wholesale,USD,GUT930,46,5,167.5,837.5,90.45,13,beauty make-up,109,WOCKHARDT Group,mcarter8x@feedburner.com,19,46,Wroclaw (Breslau),Poland
82,SO - 000183,41801,Export,USD,FLR025,61,5,3195.9,15979.5,1821.663,12,garden & outdoor,140,Safecor Corp,bchapmanu@geocities.jp,53,61,SARAJEVO,Bosnia
83,SO - 000184,41801,Wholesale,USD,NXH382,56,10,1051.9,10519.0,809.963,12,garden & outdoor,3,Ascend Ltd,wwilliamson1g@about.me,28,56,LISBOA (Lisbon),Portugal
84,SO - 000185,41801,Export,USD,AXW291,2,9,5447.1,49023.9,3540.615,5,sports & fitness,102,Linkbuzz Ltd,bsimsla@icio.us,64,2,BERLIN,Germany
85,SO - 000186,41801,Wholesale,USD,GUT930,36,8,3182.5,25460.0,1973.15,7,men's & women's clothing,159,Quaxo Ltd,jgray33@blogtalkradio.com,30,36,Kraków,Poland
86,SO - 000187,41802,Wholesale,USD,FLR025,61,5,891.1,4455.5,632.681,9,health & personal care,136,Bath Group,cparker3z@state.tx.us,58,61,SARAJEVO,Bosnia
87,SO - 000188,41802,Export,USD,AXW291,29,7,3892.7,27248.9,2724.89,13,beauty make-up,145,Janyx Group,earnold59@epa.gov,11,29,Lódz,Poland
88,SO - 000189,41802,Export,USD,GUT930,45,9,3953.0,35577.0,3360.05,9,health & personal care,21,Viva Ltd,wyoungoo@ucla.edu,55,45,Frankfurt am Main,Germany
89,SO - 000190,41802,Wholesale,USD,GUT930,34,9,924.6,8321.4,545.514,4,furniture,106,Organon Corp,cwillis1c@theatlantic.com,15,34,Salonika,Greece
90,SO - 000191,41802,Distributor,USD,GUT930,34,10,3430.4,34304.0,1989.632,4,furniture,5,Blogtags Ltd,rscott2f@printfriendly.com,8,34,Salonika,Greece
91,SO - 000192,41802,Wholesale,USD,AXW291,31,8,1152.4,9219.2,622.296,6,grocery & gourmet foods,57,Camido Company,alopez2b@vistaprint.com,54,31,RIGA,Latvia
92,SO - 000193,41802,Wholesale,USD,AXW291,24,5,1085.4,5427.0,922.59,9,health & personal care,28,Army Group,aellis34@tiny.cc,46,24,Odessa,Ukraine
93,SO - 000194,41803,Wholesale,USD,AXW291,27,5,5031.7,25158.5,4025.36,6,grocery & gourmet foods,34,Z.H.T. Group,rwhitedq@nymag.com,29,27,ZAGREB,Croatia
94,SO - 000195,41803,Wholesale,USD,AXW291,18,8,1092.1,8736.8,436.84,8,car & motorbike,72,Wordware Company,tlopezn@bandcamp.com,15,18,PRAHA (Prague),Czech Republic
95,SO - 000196,41803,Export,USD,AXW291,4,9,187.6,1688.4,144.452,7,men's & women's clothing,170,SEINDNI Corp,jwilliamson1o@unblog.fr,58,4,ROMA,Italy
96,SO - 000197,41803,Export,USD,AXW291,17,9,3993.2,35938.8,2835.172,9,health & personal care,13,Nexus Group,rsanders1e@latimes.com,9,17,München (Munich),Germany
97,SO - 000198,41803,Export,USD,FLR025,65,11,2472.3,27195.3,1433.934,1,home appliances,19,Roberts Company,cwagnera2@ed.gov,27,65,OSLO,Norway
98,SO - 000199,41803,Wholesale,USD,AXW291,5,11,1206.0,13266.0,844.2,9,health & personal care,166,Brainspher Ltd,hfowler6h@xinhuanet.com,39,5,KIEV,Ukraine
99,SO - 000200,41803,Distributor,USD,AXW291,26,11,1728.6,19014.6,985.302,4,furniture,136,Bath Group,cparker3z@state.tx.us,58,26,Torino (Turin),Italy
100,SO - 000201,41803,Wholesale,USD,AXW291,25,6,1983.2,11899.2,1447.736,15,pet supplies,121,Tambee Company,hturnerw@answers.com,47,25,Köln (Cologne),Germany
101,SO - 000202,41803,Wholesale,USD,GUT930,33,7,5313.1,37191.7,2656.55,14,musical instruments,75,Cogilith Group,bnelson17@parallels.com,50,33,ATHINAI (Athens),Greece
102,SO - 000203,41803,Export,USD,AXW291,11,11,871.0,9581.0,566.15,15,pet supplies,124,Roomm Company,hbishop6d@goodreads.com,15,11,WARSZAWA (Warsaw),Poland
103,SO - 000204,41804,Wholesale,USD,GUT930,32,6,2532.6,15195.6,2051.406,13,beauty make-up,100,Aibox Company,smorrisba@craigslist.org,6,32,Lvov,Ukraine
104,SO - 000205,41804,Wholesale,USD,AXW291,17,8,5916.1,47328.8,4673.719,7,men's & women's clothing,54,Revitol Company,aramos9w@php.net,41,17,München (Munich),Germany
105,SO - 000206,41804,Wholesale,USD,GUT930,42,7,2887.7,20213.9,1443.85,13,beauty make-up,146,Vimbo Company,srice31@exblog.jp,34,42,Palermo,Italy
106,SO - 000207,41804,Wholesale,USD,GUT930,36,7,1855.9,12991.3,1447.602,15,pet supplies,170,SEINDNI Corp,jwilliamson1o@unblog.fr,58,36,Kraków,Poland
107,SO - 000208,41804,Distributor,USD,AXW291,11,6,207.7,1246.2,135.005,4,furniture,108,Vitz Company,pmorales92@naver.com,27,11,WARSZAWA (Warsaw),Poland
108,SO - 000209,41804,Wholesale,USD,FLR025,62,6,1058.6,6351.6,772.778,3,electronics,166,Brainspher Ltd,hfowler6h@xinhuanet.com,39,62,Duisburg,Germany
109,SO - 000210,41804,Wholesale,USD,GUT930,44,10,958.1,9581.0,517.374,11,toy & kids products,142,Skippad Ltd,jchavezik@aboutads.info,27,44,Genova,Italy
110,SO - 000211,41804,Wholesale,USD,GUT930,34,9,2659.9,23939.1,1675.737,1,home appliances,100,Aibox Company,smorrisba@craigslist.org,6,34,Salonika,Greece
111,SO - 000212,41804,Distributor,USD,AXW291,26,12,2217.7,26612.4,1707.629,6,grocery & gourmet foods,75,Cogilith Group,bnelson17@parallels.com,50,26,Torino (Turin),Italy
112,SO - 000213,41805,Wholesale,USD,AXW291,8,7,1715.2,12006.4,857.6,11,toy & kids products,155,Zoomdog Corp,gsmith1x@youku.com,25,8,BUDAPEST,Hungary
113,SO - 000214,41805,Wholesale,USD,NXH382,52,6,3932.9,23597.4,1691.147,2,books,20,Tagfeed Ltd,srichardson8l@ucla.edu,56,52,Stuttgart,Germany
114,SO - 000215,41805,Distributor,USD,AXW291,31,5,2546.0,12730.0,1909.5,2,books,104,Mydeo Ltd,sjohnstonjs@deliciousdays.com,33,31,RIGA,Latvia
115,SO - 000216,41805,Distributor,USD,NXH382,50,5,837.5,4187.5,603.0,5,sports & fitness,150,Zooxo Ltd,hmoore3c@privacy.gov.au,43,50,Rotterdam,Netherlands
116,SO - 000217,41805,Distributor,USD,GUT930,40,10,1809.0,18090.0,1302.48,6,grocery & gourmet foods,70,Cogidoo Company,mcarrolli3@foxnews.com,36,40,Kryvy Rig,Ukraine
117,SO - 000218,41805,Distributor,USD,NXH382,55,5,857.6,4288.0,514.56,9,health & personal care,77,Valeant Corp,bbowman1j@phpbb.com,60,55,Düsseldorf,Germany
118,SO - 000219,41805,Export,USD,AXW291,2,8,1748.7,13989.6,1101.681,5,sports & fitness,38,Neutrogena Ltd,aharveyd3@flavors.me,33,2,BERLIN,Germany
119,SO - 000220,41805,Distributor,USD,AXW291,14,10,1266.3,12663.0,582.498,5,sports & fitness,68,True Ltd,bcollins1t@prweb.com,4,14,Kharkov,Ukraine
120,SO - 000221,41805,Wholesale,USD,AXW291,5,11,5058.5,55643.5,3591.535,13,beauty make-up,142,Skippad Ltd,jchavezik@aboutads.info,27,5,KIEV,Ukraine
121,SO - 000222,41805,Distributor,USD,AXW291,7,10,958.1,9581.0,795.223,5,sports & fitness,74,Dazzlesphe Corp,mpalmera6@census.gov,50,7,BUCURESTI (Bucharest),Romania
122,SO - 000223,41805,Export,USD,AXW291,22,11,1802.3,19825.3,756.966,6,grocery & gourmet foods,156,Actavis Company,jkimw@netscape.com,22,22,Napoli (Naples),Italy
123,SO - 000224,41806,Wholesale,USD,AXW291,9,11,6298.0,69278.0,4534.56,7,men's & women's clothing,135,Kaymbo Company,alittle8i@un.org,60,9,Hamburg,Germany
124,SO - 000225,41806,Wholesale,USD,AXW291,1,6,2499.1,14994.6,1824.343,13,beauty make-up,126,Rhynoodle Ltd,wshawq2@mlb.com,52,1,LONDON,UK
125,SO - 000226,41806,Wholesale,USD,GUT930,36,8,871.0,6968.0,705.51,7,men's & women's clothing,140,Safecor Corp,bchapmanu@geocities.jp,53,36,Kraków,Poland
126,SO - 000227,41806,Wholesale,USD,GUT930,44,6,750.4,4502.4,360.192,11,toy & kids products,123,Muxo Group,hday5g@webnode.com,11,44,Genova,Italy
127,SO - 000228,41806,Distributor,USD,GUT930,36,5,763.8,3819.0,504.108,10,accessories,139,Zoomzone Corp,kwheeler2h@army.mil,63,36,Kraków,Poland
128,SO - 000229,41806,Export,USD,NXH382,55,11,844.2,9286.2,565.614,7,men's & women's clothing,96,Thoughtmix Ltd,ssanchez5k@netvibes.com,43,55,Düsseldorf,Germany
129,SO - 000230,41806,Wholesale,USD,AXW291,6,5,261.3,1306.5,112.359,15,pet supplies,154,GOOD Ltd,dhanson5@com.com,60,6,PARIS,France
130,SO - 000231,41806,Export,USD,AXW291,13,8,3999.9,31999.2,2359.941,10,accessories,4,Eire Corp,rgreene16@deviantart.com,64,13,WIEN (Vienna),Austria
131,SO - 000232,41806,Wholesale,USD,GUT930,45,7,1112.2,7785.4,811.906,8,car & motorbike,70,Cogidoo Company,mcarrolli3@foxnews.com,36,45,Frankfurt am Main,Germany
132,SO - 000233,41806,Wholesale,USD,AXW291,30,8,2633.1,21064.8,1843.17,4,furniture,50,Wordtune Company,ssnyder4l@cafepress.com,32,30,Marseille,France
133,SO - 000234,41806,Distributor,USD,AXW291,24,5,1018.4,5092.0,631.408,9,health & personal care,44,Fivechat Company,jrose1k@163.com,10,24,Odessa,Ukraine
134,SO - 000235,41806,Distributor,USD,AXW291,10,12,5219.3,62631.6,3444.738,12,garden & outdoor,70,Cogidoo Company,mcarrolli3@foxnews.com,36,10,MINSK,Belarus
135,SO - 000236,41806,Export,USD,NXH382,47,11,3999.9,43998.9,2359.941,7,men's & women's clothing,175,SHISEIDO Ltd,rreyesqw@list-manage.com,1,47,Glasgow,UK
136,SO - 000237,41807,Wholesale,USD,FLR025,62,10,1721.9,17219.0,1084.797,14,musical instruments,90,Aimbo Corp,criveramf@mysql.com,49,62,Duisburg,Germany
137,SO - 000238,41807,Wholesale,USD,GUT930,35,9,737.0,6633.0,456.94,5,sports & fitness,129,Sanum-Kehl Group,pwells2x@zimbio.com,50,35,STOCKHOLM,Sweden
138,SO - 000239,41807,Wholesale,USD,AXW291,6,9,1219.4,10974.6,695.058,11,toy & kids products,124,Roomm Company,hbishop6d@goodreads.com,15,6,PARIS,France
139,SO - 000240,41807,Wholesale,USD,NXH382,51,6,891.1,5346.6,712.88,14,musical instruments,9,Walgreen Corp,aparker1l@pcworld.com,10,51,Dortmund,Germany
140,SO - 000241,41807,Wholesale,USD,AXW291,27,12,978.2,11738.4,743.432,5,sports & fitness,117,ALK-Abello Ltd,jwelch37@bigcartel.com,30,27,ZAGREB,Croatia
141,SO - 000242,41807,Wholesale,USD,AXW291,31,9,3946.3,35516.7,1657.446,6,grocery & gourmet foods,100,Aibox Company,smorrisba@craigslist.org,6,31,RIGA,Latvia
142,SO - 000243,41807,Wholesale,USD,GUT930,33,12,1299.8,15597.6,922.858,1,home appliances,92,Yodoo Ltd,fscottii@fotki.com,24,33,ATHINAI (Athens),Greece
143,SO - 000244,41808,Distributor,USD,AXW291,14,5,5815.6,29078.0,2791.488,5,sports & fitness,155,Zoomdog Corp,gsmith1x@youku.com,25,14,Kharkov,Ukraine
144,SO - 000245,41808,Distributor,USD,AXW291,22,10,1092.1,10921.0,655.26,15,pet supplies,100,Aibox Company,smorrisba@craigslist.org,6,22,Napoli (Naples),Italy
145,SO - 000246,41808,Wholesale,USD,AXW291,7,7,1072.0,7504.0,643.2,12,garden & outdoor,156,Actavis Company,jkimw@netscape.com,22,7,BUCURESTI (Bucharest),Romania
146,SO - 000247,41808,Wholesale,USD,GUT930,39,11,4020.0,44220.0,2653.2,9,health & personal care,134,Quimm Company,rhenry7y@squarespace.com,45,39,Leeds,UK
147,SO - 000248,41808,Wholesale,USD,AXW291,12,9,984.9,8864.1,669.732,10,accessories,140,Safecor Corp,bchapmanu@geocities.jp,53,12,BEOGRAD (Belgrade),Serbia
148,SO - 000249,41808,Wholesale,USD,FLR025,62,12,227.8,2733.6,100.232,5,sports & fitness,28,Army Group,aellis34@tiny.cc,46,62,Duisburg,Germany
149,SO - 000250,41808,Wholesale,USD,AXW291,7,11,3993.2,43925.2,3314.356,8,car & motorbike,72,Wordware Company,tlopezn@bandcamp.com,15,7,BUCURESTI (Bucharest),Romania
